type	drugbank_id	name	cal_logp	cal_logs	cal_water_solubility	cal_molecular_weight	cal_polar_surface_area	cal_refractivity	cal_polarizability	cal_rotatable_bond_count	cal_h_bond_acceptor_count	cal_h_bond_donor_count	cal_pka_acidic	cal_pka_basic	cal_physiological_charge	cal_number_of_rings	cal_bioavailability	cal_rule_of_five	exp_molecular_weight	exp_logp	exp_pka	half_life
biotech	DB00026	Anakinra																	17257.6000			"Healthy subjects = 4 - 6 hours;
NOMID patients = 5.7 hours (range of 3.1 - 28.2 hours). "
biotech	DB00027	Gramicidin D																	1882.2947			
biotech	DB00028	Intravenous Immunoglobulin																	142682.3000			>20 hours (mammalian reticulocytes, in vitro).
biotech	DB00029	Anistreplase																	59042.3000			
biotech	DB00030	Insulin Regular																	5808 Daltons 			
biotech	DB00031	Tenecteplase																	58951.2000			"1.9 hours (mammalian reticulocytes, in vitro)
>20 hours (yeast, in vivo)
>10 hours (Escherichia coli, in vivo)"
biotech	DB00032	Menotropins																	23390.3000			
biotech	DB00033	Interferon gamma-1b																	17145.6000			
biotech	DB00034	Interferon Alfa-2a, Recombinant																	19241.1000			The IM half-life of interferon alfa-2a is 6 hours to 8 hours; the half-life for IV infusion is 3.7 hours to 8.5 hours (mean 5.1 hours).
small molecule	DB00035	Desmopressin	-1	-4	1.10e-01 g/l	1069.217	435.41	279.78	106.19	19	15	14	9.5	11.77	1	4	0			-4.2		Oral t<sub>1/2</sub>=1.5-2.5 hours. Intranasal t<sub>1/2</sub>=3.3-3.5 hours. IV t<sub>1/2</sub> is biphasic: initial t<sub>1/2</sub>=7.8 minutes, terminal t<sub>1/2</sub>=0.4-4 hours. 
biotech	DB00036	Coagulation factor VIIa																	45079.1000			
biotech	DB00038	Oprelvekin																	19047.2000			6.9 +/- 1.7 hrs
biotech	DB00039	Palifermin																	16192.7000			Elimination half-life: 4.5 hours (range: 3.3-5.7 hours)
biotech	DB00040	Glucagon recombinant																	3767.1000			
biotech	DB00041	Aldesleukin																	15314.8000			13 min-85 min
biotech	DB00042	Botulinum Toxin Type B																	150804.0000			
biotech	DB00043	Omalizumab																	145058.2000			26 days
biotech	DB00044	Lutropin alfa																	30,000			Biphasic; terminal half-life is approximately 18 hours.
biotech	DB00045	OspA lipoprotein																	27743.1000			1.2 hours (mammalian reticulocytes, in vitro).
biotech	DB00046	Insulin Lispro																	5808.0000			SubQ administration = 1 hour
biotech	DB00047	Insulin Glargine																	6063 Daltons 			Not reported in humans; 30 hours <i>in vitro</i> in mammalian reticulocytes.
biotech	DB00048	Collagenase																	112023.2000			
biotech	DB00049	Rasburicase																	34109.5000			18 hours
small molecule	DB00050	Cetrorelix	1.33	-5.3	6.94e-03 g/l	1431.038	495.67	384.16	148.09	38	18	17	9.49	11.11	1	6	0					~62.8 hours
biotech	DB00051	Adalimumab																	144190.3000			10-20 days.
biotech	DB00052	Somatropin recombinant																	22129.0000			
biotech	DB00053	Imiglucerase																	55597.4000			3.6-10.4 min
biotech	DB00054	Abciximab																	145651.1000			Following intravenous bolus administration, free plasma concentrations of Abciximab decrease rapidly with an initial half-life of less than 10 minutes and a second phase half-life of about 30 minutes, probably related to rapid binding to the platelet GPIIb/IIIa receptors.
biotech	DB00055	Drotrecogin alfa																	55000.0000			5.5 hours (mammalian reticulocytes, in vitro).
biotech	DB00056	Gemtuzumab ozogamicin																				
biotech	DB00057	Satumomab Pendetide																	141478.9000			0.8 hours (mammalian reticulocytes, in vitro)
biotech	DB00058	Alpha-1-proteinase inhibitor																	44324.5000			
biotech	DB00059	Pegaspargase																	31731.9000			IM: ~6 days; half-life decreased to ~3 days (range: 1.4 to 5 days) in patients with previous hypersensitivity to native L-asparaginase; IV: Adults (asparaginase naive): 7 days
biotech	DB00060	Interferon beta-1a																	20027.0000			10 hrs
biotech	DB00061	Pegademase bovine																	40788.2000			plasma adenosine deaminase elimination half-life is 3 to >6 days
biotech	DB00062	Human Serum Albumin																	66472.2000			
biotech	DB00063	Eptifibatide																	831.9620			Approximately 2.5 hours
biotech	DB00064	Serum albumin iodonated																	66472.2000			
biotech	DB00065	Infliximab																	144190.3000			9.5 days (7-12 days) in patients with Crohn's disease, plaque psoriasis and rheumatoid arthritis
biotech	DB00066	Follitropin beta																	22672.9000			Circulation half life of 3-4 hours, elimination half life of 35-40 hours
biotech	DB00067	Vasopressin																	1050.2150			10-20 minutes
biotech	DB00068	Interferon beta-1b																	20011.0000			
biotech	DB00069	Interferon alfacon-1																	19343.0000			"The terminal half-life following subcutaneous dosing was 1.3 hours in golden Syrian hamsters and 3.4 hours in rhesus monkeys.

"
biotech	DB00070	Hyaluronidase																	53870.9000			
biotech	DB00071	Insulin, porcine																	5795.6000			
biotech	DB00072	Trastuzumab																	145531.5000			average 28.5 days. Pharmacokinetics are nonlinear; increased doses are associated with increased mean half-life and decreased clearance.
biotech	DB00073	Rituximab																	143859.7000			0.8 hours (mammalian reticulocytes, in vitro)
biotech	DB00074	Basiliximab																	143801.3000			7.2 +/- 3.2 days (adults)
biotech	DB00075	Muromonab																	146189.7000			0.8 hours (mammalian reticulocytes, in vitro)
biotech	DB00076	Digoxin Immune Fab (Ovine)																	47301.7000			15-20 hrs
biotech	DB00078	Ibritumomab																	143375.5000			0.8 hours (mammalian reticulocytes, in vitro)
biotech	DB00080	Daptomycin																	1620.6706			Half-life elimination: 8-9 hours (up to 28 hours in renal impairment) 
biotech	DB00081	Tositumomab																	143859.7000			0.8 hours (mammalian reticulocytes, in vitro)
biotech	DB00082	Pegvisomant																	22129.0000			~6 days
biotech	DB00083	Botulinum Toxin Type A																	149322.7000			
biotech	DB00085	Pancrelipase																	131125.6000			Pancrelipase is not significantly absorbed from the gastrointestinal tract and acts locally, so there is no terminal elimination half life.  
biotech	DB00086	Streptokinase																	47286.7000			
biotech	DB00087	Alemtuzumab																	145453.8000			~288 hrs
biotech	DB00088	Alglucerase																	55597.4000			3.6-10.4 min
biotech	DB00089	Capromab																				
biotech	DB00090	Laronidase																	69899.4000			1.5-3.6 hrs
small molecule	DB00091	Cyclosporine	4.12	-5.1	9.52e-03 g/l	1202.6112	278.8	327.14	133.24	15	12	5	11.83	-2.4	0	1	0					Biphasic and variable, approximately 7 hours (range 7 to 19 hours) in children and approximately 19 hours (range 10 to 27 hours) in adults.
biotech	DB00092	Alefacept																	51801.1000			~270 hours
small molecule	DB00093	Felypressin	-1.1	-4.4	4.53e-02 g/l	1040.219	405.32	264.79	103.93	19	13	12	11.39	10.18	2	4	0					
biotech	DB00094	Urofollitropin																	980.1620			Circulation half life of 3-4 hours, elimination half life of 35-40 hours
biotech	DB00095	Efalizumab																				5 days
biotech	DB00096	Serum albumin																	66472.2000			
biotech	DB00097	Choriogonadotropin alfa																	25719.7000			The mean terminal half-life is about 29 ± 6 hours (initial half-life is 4.5 ± 0.5 hours).
biotech	DB00098	Antithymocyte globulin																				2-3 days, may increase after multiple doses administration
biotech	DB00099	Filgrastim																	18.8 kDa			"Elimination half-life, healthy subjects and cancer patients, Neopogen = 3.5 hours;
Elimination half-life, cancer patients, tbo-filgrastim = 3.2-3.8 hours  "
biotech	DB00100	Coagulation Factor IX																	46548.2000			19.4 ± 5.4 hours (range from 11 to 36 hours)
biotech	DB00102	Becaplermin																	12294.4000			
biotech	DB00103	Agalsidase beta																	45351.6000			45-102 min
small molecule	DB00104	Octreotide	0.42	-4.9	1.22e-02 g/l	1019.239	332.22	269.77	105.28	17	12	13	11.4	10.17	2	5	0			1		
biotech	DB00105	Interferon Alfa-2b, Recombinant																	19271.0000			The elimination half-life following both intramuscular and subcutaneous injections was approximately 2 to 3 hours. The elimination half-life was approximately 2 hours following intravenous injection.
biotech	DB00106	Abarelix																	1416.0630			13.2 &plusmn; 3.2 days
biotech	DB00107	Oxytocin																	1007.1870			1-6 min, this is decreased in late pregnancy and during lactation.
biotech	DB00108	Natalizumab																				11 ± 4 days
biotech	DB00109	Enfuvirtide																	4491.8760			3.8 +/- 0.6 hrs
biotech	DB00110	Palivizumab																				18-20 days (in adults)
biotech	DB00111	Daclizumab																	142612.1000			11-38 days
biotech	DB00112	Bevacizumab																	149 kDa			approximately 20 days (range: 11–50 days)
biotech	DB00113	Arcitumomab																	144482.5000			Approximately 1 hour
small molecule	DB00114	Pyridoxal Phosphate	-0.55	-1.6	5.70e+00 g/l	247.1419	116.95	54.75	20.9	4	6	3	1.68	4.11	-2	1	1	true		-1.2		
small molecule	DB00115	Cyanocobalamin	1.87	-4.5	3.84e-02 g/l	1356.3731							1.84	8.77	2	8	0					Approximately 6 days (400 days in the liver).
small molecule	DB00116	Tetrahydrofolic acid	-0.96	-3.2	2.69e-01 g/l	445.4292	207.27	121.39	42.95	9	12	8	3.51	3.58	-2	3	0			-2.7		
small molecule	DB00117	L-Histidine	-3.1	-0.4	6.20e+01 g/l	155.1546	92	38.06	14.67	3	4	3	1.85	9.44	0	1	1	true		-3.32	2.76 (at 0 °C)	
small molecule	DB00118	S-Adenosylmethionine	-2	-2.6	1.19e+00 g/l	399.445	182.63	96.23	40.37	7	10	5	1.71	9.41	1	3	1	true				
small molecule	DB00119	Pyruvic acid	-0.38	0.18	1.34e+02 g/l	88.0621	54.37	17.99	7.31	1	3	1	2.93	-9.6	-1	0	1	true		-0.5	2.45 (at 25 °C)	
small molecule	DB00120	L-Phenylalanine	-1.4	-1.6	4.14e+00 g/l	165.1891	63.32	45.12	17.03	3	3	2	2.47	9.45	0	1	1	true		-1.38	1.24 (at 25 °C)	
small molecule	DB00121	Biotin	0.17	-2.3	1.22e+00 g/l	244.311	78.43	60.05	24.92	5	3	3	4.4	-1.9	-1	2	1	true		0.5		
small molecule	DB00122	Choline	-3.6	-1.6	3.61e+00 g/l	104.1708	20.23	42.19	12.57	2	1	1	13.97	-3.2	1	0	1	true				
small molecule	DB00123	L-Lysine	-3.8	-0.14	1.05e+02 g/l	146.1876	89.34	37.81	15.84	5	4	3	2.74	10.29	1	0	1	true		-3.05	3.12 (at 0 °C)	
small molecule	DB00125	L-Arginine	-3.5	-1.9	2.28e+00 g/l	174.201	125.22	53.92	17.8	5	6	5	2.41	12.41	1	0	1	true		-4.20	2.24 (at 0 °C)	
small molecule	DB00126	Vitamin C	-1.6	0.14	2.45e+02 g/l	176.1241	107.22	37.03	14.93	2	5	4	4.36	-3	-1	1	1	true		-1.85	4.7 (at 10 °C)	16 days (3.4 hours in people who have excess levels of vitamin C)
small molecule	DB00127	Spermine	-0.66	-2	2.19e+00 g/l	202.3402	76.1	62.56	26.69	11	4	4		11.1	4	0	1	true		-0.7		
small molecule	DB00128	L-Aspartic Acid	-3.5	0.03	1.42e+02 g/l	133.1027	100.62	26.53	11.28	3	5	3	1.7	9.61	-1	0	1	true		-3.89	2.01 (at 0 °C)	
small molecule	DB00129	L-Ornithine	-3.6	0.11	1.72e+02 g/l	132.161	89.34	33.21	13.85	4	4	3	2.67	10.29	1	0	1	true		-4.22	1.94 (at 25 °C)	
small molecule	DB00130	L-Glutamine	-3.3	-0.17	9.78e+01 g/l	146.1445	106.41	33.11	13.87	4	4	3	2.15	9.31	0	0	1	true		-3.64	2.17	
small molecule	DB00131	Adenosine monophosphate	-3.1	-2	3.31e+00 g/l	347.2212	186.07	74.07	30	4	10	5	1.23	4.97	-2	3	1	true		-3.1		
small molecule	DB00132	Alpha-Linolenic Acid	6.62	-6	2.66e-04 g/l	278.4296	37.3	89.64	34.98	13	2	1	4.99		-1	0	0			6.46		
small molecule	DB00133	L-Serine	-3.4	0.66	4.80e+02 g/l	105.0926	83.55	22.04	9.39	2	4	3	2.03	8.93	0	0	1	true		-3.07	2.21 (at 25 °C)	
small molecule	DB00134	L-Methionine	-1.9	-0.8	2.39e+01 g/l	149.211	63.32	37.59	15.5	4	3	2	2.53	9.5	0	0	1	true		-1.87	2.28 (at 25 °C)	
small molecule	DB00135	L-Tyrosine	-2.4	-1.4	7.67e+00 g/l	181.1885	83.55	47.1	18.01	3	4	3	2	9.19	0	1	1	true		-2.26	2.2 (at 25 °C)	
small molecule	DB00136	Calcitriol	5.51	-4.8	6.67e-03 g/l	416.6365	60.69	126.53	51.02	6	3	3	14.39	-1.3	0	3	1	true		5		5-8 hours
small molecule	DB00137	Xanthophyll	8.29	-5.9	7.32e-04 g/l	568.8714	40.46	195.06	72.79	10	2	2	18.22	-0.91	0	2	0			7.9		
small molecule	DB00138	L-Cystine	-3.2	-1.2	1.68e+01 g/l	240.3	126.64	54.87	22.77	7	6	4	1.56	9.34	0	0	1	true		-5.08	1	
small molecule	DB00139	Succinic acid	-0.53	0.25	2.11e+02 g/l	118.088	74.6	23.54	10.14	3	4	2	3.55		-2	0	1	true		-0.59	4.21 (at 25 °C)	
small molecule	DB00140	Riboflavin	-1.1	-2.8	6.57e-01 g/l	376.3639	155.05	96.27	37.5	5	9	5	6.97	0.76	-1	3	1	true		-1.46	10.2	66-84 minutes
small molecule	DB00141	N-Acetyl-D-glucosamine	-2.1	-0.18	1.48e+02 g/l	221.2078	127.09	48.45	20.49	6	6	5	11.56	-1.2	0	0	1	true		-2.1		
small molecule	DB00142	L-Glutamic Acid	-3.5	-0.26	8.06e+01 g/l	147.1293	100.62	31.29	13.32	4	5	3	1.88	9.54	-1	0	1	true		-3.69	2.23 (at 0 °C)	
small molecule	DB00143	Glutathione	-2.7	-2.5	8.79e-01 g/l	307.323	158.82	69.11	29.11	9	7	6	1.94	9.22	-1	0	1			-6.4		
small molecule	DB00144	Phosphatidylserine	-1	-2	3.70e+00 g/l	385.3041	171.68	81.81	35.58	15	7	3	1.47	9.38	-1	0	1	true		-3.5		
small molecule	DB00145	Glycine	-3.3	0.87	5.52e+02 g/l	75.0666	63.32	16	6.65	1	3	2	2.31	9.24	0	0	1	true		-3.21	2.37 (at 20 °C)	
small molecule	DB00146	Calcidiol	6.71	-5.3	2.20e-03 g/l	400.6371	40.46	125.06	50.32	6	2	2	18.38	-0.98	0	3	1			6		288 hours
small molecule	DB00147	Pyridoxal	0.02	-1.2	1.17e+01 g/l	167.162	70.42	43.87	16.28	2	4	2	7.97	4.11	0	1	1	true		0		
small molecule	DB00148	Creatine	-1.6	-1.5	4.11e+00 g/l	131.1332	90.41	42.01	12.17	2	5	3	3.5	12.43	0	0	1	true		-0.2		3 hours
small molecule	DB00149	L-Leucine	-1.8	-0.27	6.98e+01 g/l	131.1729	63.32	34.17	14.16	3	3	2	2.79	9.52	0	0	1	true		-1.52	2.35 (at 13 °C)	
small molecule	DB00150	L-Tryptophan	-1.1	-2.2	1.36e+00 g/l	204.2252	79.11	56.2	21.05	3	3	3	2.54	9.4	0	2	1	true		-1.06	7.38 (at 25 °C)	
small molecule	DB00151	L-Cysteine	-2.6	-0.72	2.31e+01 g/l	121.158	63.32	28.22	11.41	2	3	3	2.35	9.05	0	0	1	true		-2.49	1.71	
small molecule	DB00152	Thiamine	-2.1	-4.3	1.53e-02 g/l	265.355	75.91	73.4	28.14	4	4	2	15.5	5.54	1	2	1	true				
small molecule	DB00153	Ergocalciferol	7.59	-6	4.33e-04 g/l	396.6484	20.23	128.89	50.73	5	1	1	18.38	-1.3	0	3	1			7.3		19 to 48 hours (however, stored in fat deposits in body for prolonged periods).
small molecule	DB00154	Dihomo-gamma-linolenic acid	7.24	-6.6	7.71e-05 g/l	306.4828	37.3	98.84	39.01	15	2	1	4.89		-1	0	0			6.8		
small molecule	DB00155	L-Citrulline	-3.3	-0.9	2.18e+01 g/l	175.1857	118.44	41.33	17.35	5	4	4	2.27	9.23	0	0	1	true		-3.19	2.43 (at 25 °C)	
small molecule	DB00156	L-Threonine	-3	0.6	4.77e+02 g/l	119.1192	83.55	26.46	11.08	2	4	3	2.21	9	0	0	1	true		-2.94	5.60	
small molecule	DB00157	NADH	-1.4	-2.4	2.95e+00 g/l	665.441	317.62	143	57.65	11	16	8	-7	5	-2	5	0			-5.1		
small molecule	DB00158	Folic Acid	-0.04	-3.8	7.61e-02 g/l	441.3975	208.99	111.01	42.06	9	12	6	3.37	2.09	-2	3	0			-2.5		
small molecule	DB00159	Icosapent	6.53	-6	2.89e-04 g/l	302.451	37.3	101.07	35.93	13	2	1	4.82		-1	0	0			6.1		
small molecule	DB00160	L-Alanine	-3	0.7	4.47e+02 g/l	89.0932	63.32	20.5	8.49	1	3	2	2.47	9.48	0	0	1	true		-2.85	2.34 (at 25 °C)	
small molecule	DB00161	L-Valine	-2.3	0.26	2.14e+02 g/l	117.1463	63.32	29.49	12.19	2	3	2	2.72	9.6	0	0	1	true		-2.26	2.3 (at 13 °C)	
small molecule	DB00162	Vitamin A	6.38	-4.6	7.58e-03 g/l	286.4516	20.23	97.92	36.43	5	1	1	16.44	-2.2	0	1	1	true		5.68		1.9 hours
small molecule	DB00163	Vitamin E	8.84	-7.8	7.04e-06 g/l	430.7061	29.46	135.37	55.29	12	2	1	10.8	-4.9	0	2	0			10		
small molecule	DB00165	Pyridoxine	-0.57	-1	1.61e+01 g/l	169.1778	73.58	44.11	17.11	2	4	3	9.4	5.58	0	1	1	true		-0.77		15-20 days
small molecule	DB00166	Lipoic Acid	2.75	-3	2.24e-01 g/l	206.326	37.3	54.37	22	5	2	1	4.52		-1	1	1	true		2.1		
small molecule	DB00167	L-Isoleucine	-1.7	-0.06	1.14e+02 g/l	131.1729	63.32	34.09	14.11	3	3	2	2.79	9.59	0	0	1	true		-1.70	2.37 (at 0 °C)	
small molecule	DB00168	Aspartame	-1.2	-2.6	6.52e-01 g/l	294.3031	118.72	73.22	29.58	8	5	3	3.53	8.53	0	1	1	true		-0.1		At room temperature, aspartame is most stable at pH 4.3, where its half-life is nearly 300 days. At pH 7 however, its half-life is only a few days.
small molecule	DB00169	Cholecalciferol	7.98	-6	3.80e-04 g/l	384.6377	20.23	123.22	49.6	6	1	1	18.38	-1.3	0	3	1			7.5		Several weeks
small molecule	DB00170	Menadione	1.91	-2.5	5.04e-01 g/l	172.18	34.14	50.54	17.64	0	2	0	12.94	-7.2	0	2	1	true		2.20		
small molecule	DB00171	Adenosine triphosphate	-0.84	-2	4.49e+00 g/l	507.181	279.13	95.81	38.92	8	14	7	0.9	5	-3	3	0			-5.5		
small molecule	DB00172	L-Proline	-2.7	0.5	3.65e+02 g/l	115.1305	49.33	28.06	11.5	1	3	2	1.94	11.33	0	1	1	true		-2.54		
small molecule	DB00173	Adenine	-0.38	-1.1	1.15e+01 g/l	135.1267	80.48	38.22	12.29	0	4	2	10.29	5.32	0	2	1	true		-0.09	4.15 (at 25 °C)	
small molecule	DB00174	L-Asparagine	-3.4	0.1	1.68e+02 g/l	132.1179	106.41	28.35	11.68	3	4	3	2	8.43	0	0	1	true		-3.82	8.82 (at 18 °C)	
small molecule	DB00175	Pravastatin	2.23	-3.2	2.42e-01 g/l	424.5277	124.29	113.6	46.56	11	6	4	4.21	-2.7	-1	2	1	true		0.59 		77 hours
small molecule	DB00176	Fluvoxamine	2.89	-4.6	7.34e-03 g/l	318.3346	56.84	79.2	32.44	10	4	1		9.16	1	1	1	true		3.2		15.6 hours
small molecule	DB00177	Valsartan	3.68	-4.3	2.34e-02 g/l	435.5188	112.07	134.77	47.27	10	6	2	4.37	-0.11	-1	3	1			5.8		The initial phase t<sub>1/2 &alpha;</sub> is < 1 hour while the terminal phase t<sub>1/2 &beta;</sub> is 5-9 hours.
small molecule	DB00178	Ramipril	0.92	-4	3.90e-02 g/l	416.5106	95.94	111.19	44.78	10	5	2	3.75	5.2	-1	3	1	true		2.9		Plasma concentrations of ramiprilat decline in a triphasic manner. Initial rapid decline represents distribution into tissues and has a half life of 2-4 hours. The half life of the apparent elimination phase is 9-18 hours and that of the terminal elimination phase is > 50 hours. Two elimination phases occur as a result of ramiprilat's potent binding to ACE and slow dissociation from the enzyme. The half life of ramiprilat after multiple daily doses (MDDs) is dose-dependent, ranging from 13-17 hours with 5-10 mg MDDs to 27-36 hours for 2.5 mg MDDs. 
small molecule	DB00179	Masoprocol	3.44	-4.3	1.36e-02 g/l	302.3649	80.92	86.62	33.63	5	4	4	9.21	-6.3	0	2	1	true		5.8		
small molecule	DB00180	Flunisolide	2.2	-4.1	3.74e-02 g/l	434.4977	93.06	111.89	44.88	2	6	2	13.73	-2.9	0	5	1	true		1.1		1.8 hours
small molecule	DB00181	Baclofen	-0.82	-2.5	7.12e-01 g/l	213.661	63.32	54.83	21.13	4	3	2	3.89	9.79	0	1	1	true		1.3		2.5-4 hours
small molecule	DB00182	Amphetamine	1.85	-1.9	1.74e+00 g/l	135.2062	26.02	43.71	16.17	2	1	1		10.01	1	1	1	true		1.76	10.1 (at 20 °C)	10 hours
small molecule	DB00183	Pentagastrin	1.57	-5.4	3.09e-03 g/l	767.891	250.91	199.97	80.96	23	8	8	4		-1	3	0			1.6		10 minutes or less
small molecule	DB00184	Nicotine	0.87	-0.24	9.33e+01 g/l	162.2316	16.13	49.66	18.62	1	2	0		8.86	1	2	1	true		1.17	3.1	Cotinine has a half life of 15-20 hours, while nicotine has a half life of 1-3 hours
small molecule	DB00185	Cevimeline	1.46	-1.9	2.41e+00 g/l	199.313	12.47	55.92	21.89	0	2	0		8.59	1	3	1	true		1.3		5 &plusmn; 1 hours
small molecule	DB00186	Lorazepam	2.98	-4.3	1.76e-02 g/l	321.158	61.69	82.7	30.33	1	3	2	10.61	-2.2	0	3	1	true		2.39	13	"Parenteral administration = 14±5 hours;
Oral administration = 2 hours. "
small molecule	DB00187	Esmolol	2.02	-3.3	1.44e-01 g/l	295.374	67.79	81.05	33.68	10	4	2	14.09	9.67	1	1	1	true		1.7		Rapid distribution half-life of about 2 minutes and an elimination half-life of about 9 minutes. The acid metabolite has an elimination half-life of about 3.7 hours.
small molecule	DB00188	Bortezomib	0.89	-3.9	5.32e-02 g/l	384.237	124.44	99.37	40.48	9	6	4	13.04	-0.7	0	2	1	true				The mean elimination half-life of bortezomib after first dose ranged from 9 to 15 hours at doses ranging from 1.45 to 2.00 mg/m2 in patients with advanced malignancies.
small molecule	DB00189	Ethchlorvynol	1.45	-3	1.43e-01 g/l	144.599	20.23	38.64	14.77	2	1	1	12.88	-3.7	0	0	1	true		1.8		Plasma half-life is approximately 10 to 20 hours, terminal half-life is 21-100 hours.
small molecule	DB00190	Carbidopa	-1.2			244.2444	115.81	68.77	21.81	4	6	5	3.59	5.65	-1	1	1	true		-1.9		1-2 hours
small molecule	DB00191	Phentermine	2.32	-2.3	7.57e-01 g/l	149.2328	26.02	48.34	17.87	2	1	1		10.25	1	1	1	true		1.90		16 to 31 hours
small molecule	DB00192	Indecainide	3.24	-5.5	8.96e-04 g/l	308.4174	55.12	94.05	35.56	6	2	2	16.51	10.4	1	3	1	true		3.11		
small molecule	DB00193	Tramadol	2.71	-2.5	7.50e-01 g/l	263.3752	32.7	78.27	30.45	4	3	1	13.8	9.23	1	2	1	true		2.4	9.41	Tramadol and its metabolites are excreted primarily in the urine with observed plasma half-lives of 6.3 and 7.4 hours for tramadol and M1, respectively.
small molecule	DB00194	Vidarabine	-1.2	-1.3	1.40e+01 g/l	267.2413	139.54	63.2	24.49	2	8	4	12.45	4.99	0	3	1	true		-2.115		
small molecule	DB00195	Betaxolol	3	-4	2.98e-02 g/l	307.4278	50.72	88.64	37.05	11	4	2	14.09	9.67	1	2	1	true		2.81	9.4	14-22 hours
small molecule	DB00196	Fluconazole	0.58	-2.3	1.39e+00 g/l	306.2708	81.65	97.2	26.52	5	5	1	12.71	2.56	0	3	1	true		0.4		30 hours (range 20-50 hours)
small molecule	DB00197	Troglitazone	4.16	-5.6	1.21e-03 g/l	441.54	84.86	120.99	47.08	5	5	2	6.61	-4.6	-1	4	1			3.6		16-34 hours
small molecule	DB00198	Oseltamivir	1.3	-2.7	6.86e-01 g/l	312.4045	90.65	84.2	34.65	8	4	2	14.03	9.31	1	1	1	true		1		1 to 3 hours in most subjects after oral administration.
small molecule	DB00199	Erythromycin	2.37	-3.2	4.59e-01 g/l	733.9268	193.91	186.04	78.21	7	13	5	12.44	8.38	1	3	0			3.06	8.88 (at 25 °C)	0.8 - 3 hours
small molecule	DB00200	Hydroxocobalamin	2.53	-5	1.46e-02 g/l	1346.3551							1.84	8.78	3	8	0					Approximately 6 days (peak plasma concentration after 8-12 hours from oral administration)
small molecule	DB00201	Caffeine	-0.24	-1.2	1.10e+01 g/l	194.1906	58.44	49.83	18.95	0	3	0		-0.92	0	2	1	true		-0.07	10.4 (at 40 °C)	3 to 7 hours in adults, 65 to 130 hours in neonates
small molecule	DB00202	Succinylcholine	-2.5	-5.7	7.57e-04 g/l	290.399	52.6	100.94	33.15	11	2	0		-6.8	2	0	1	true				
small molecule	DB00203	Sildenafil	2.35	-3	4.33e-01 g/l	474.576	109.13	139.44	51.18	6	8	1	7.27	5.97	0	4	1	true		1.9		4 hours
small molecule	DB00204	Dofetilide	2.17	-4.3	1.98e-02 g/l	441.565	104.81	113.27	46.03	9	6	2	10.15	8.99	1	2	1	true		2.1		10 hours
small molecule	DB00205	Pyrimethamine	2.62	-3.1	1.79e-01 g/l	248.711	77.82	71.54	25.79	2	4	2	17.22	7.77	1	2	1	true		2.69	7.34 (at 20 °C)	96 hours
small molecule	DB00206	Reserpine	4.05	-4.7	1.13e-02 g/l	608.6787	117.78	161.42	66.05	10	8	1	16.29	7.56	1	6	1			3.2	6.6	
