drugbank_id	drugbank_name	chembl	drugbank	pdb	iuphar	pubchem_dotf	kegg_ligand	chebi	nih_ncc	zinc	emolecules	ibm	atlas	ibm_patents	fdasrs	surechembl	pharmgkb	hmdb	selleck	pubchem_tpharma	pubchem	mcule	nmrshiftdb2	lincs	actor	recon	molport	nikkaji	bindingdb
DB00155	L-Citrulline	1	1	1	2	0	1	5	0	2	4	3	0	137	1	7	0	1	0	10	23	2	1	0	3	1	2	3	1
DB00156	L-Threonine	6	2	4	1	0	4	13	0	4	8	15	0	124	2	19	0	2	0	12	52	3	1	0	11	1	4	9	0
DB00157	NADH	1	1	1	1	0	1	4	0	0	1	2	0	9	1	4	0	1	0	3	20	0	0	0	2	1	0	5	1
DB00158	Folic Acid	2	1	1	2	1	1	2	1	3	11	4	0	150	1	5	1	1	0	10	18	2	3	1	3	1	6	7	1
DB00159	Icosapent	1	1	1	1	0	1	2	0	2	3	1	1	100	1	9	0	1	0	4	20	0	0	1	2	2	0	3	1
DB00160	L-Alanine	3	2	2	4	0	3	13	0	2	15	22	0	0	2	18	0	2	0	15	66	3	1	0	11	2	3	33	3
DB00161	L-Valine	3	1	2	1	0	3	11	0	2	7	14	0	113	2	17	0	1	0	20	61	3	3	0	6	1	2	17	2
DB00162	Vitamin A	3	1	1	3	0	4	5	0	3	6	1	1	100	1	5	1	4	0	10	23	0	0	1	6	4	1	11	1
DB00163	Vitamin E	3	1	2	0	1	1	2	0	7	5	8	2	84	1	10	1	1	0	11	19	2	0	1	7	1	2	14	1
DB00165	Pyridoxine	1	1	1	0	0	1	1	0	2	2	3	0	100	1	2	1	1	0	3	11	1	1	1	1	1	0	2	0
DB00166	Lipoic Acid	3	1	2	1	1	2	5	0	2	4	3	0	148	2	3	0	2	0	4	18	4	1	0	5	1	2	4	2
DB00167	L-Isoleucine	6	2	4	1	0	3	10	0	4	7	15	0	148	4	15	0	3	0	21	56	1	1	0	9	1	5	22	1
DB00168	Aspartame	3	1	1	0	0	1	1	0	4	7	7	0	34	1	7	0	1	1	3	18	6	0	0	2	0	1	4	0
DB00169	Cholecalciferol	9	1	1	1	1	1	1	0	31	11	14	0	104	1	27	1	3	1	14	90	0	0	0	4	1	2	8	1
DB00170	Menadione	1	1	1	0	0	1	1	0	1	2	1	0	45	1	1	1	1	1	2	3	1	1	1	3	0	0	4	1
DB00171	Adenosine triphosphate	1	1	1	1	0	1	3	0	16	3	11	0	117	1	8	0	1	0	10	48	0	0	0	6	1	0	8	4
DB00172	L-Proline	3	2	2	2	0	3	11	0	2	7	13	1	104	1	22	0	2	0	13	63	3	1	0	6	2	2	18	3
DB00173	Adenine	1	1	1	1	0	1	1	0	1	3	9	0	0	1	7	1	1	1	13	27	1	1	0	3	1	2	16	1
DB00174	L-Asparagine	2	2	2	1	0	3	11	0	2	6	5	0	106	2	6	0	2	0	4	26	3	1	0	5	1	2	6	1
DB00175	Pravastatin	2	1	0	1	0	1	2	0	19	1	17	0	100	2	23	1	1	0	7	69	0	1	4	1	0	0	2	3
DB00176	Fluvoxamine	3	1	1	1	0	1	1	0	2	2	1	0	0	2	2	0	1	0	2	9	0	1	1	1	0	1	3	2
DB00177	Valsartan	3	1	0	2	1	0	1	1	0	7	5	0	46	2	4	1	1	1	11	14	4	0	2	1	0	3	2	2
DB00178	Ramipril	5	1	0	1	1	0	1	2	8	4	13	0	100	5	26	1	1	1	12	56	3	0	3	2	0	1	5	1
DB00179	Masoprocol	3	1	1	1	1	1	2	0	3	1	3	1	88	1	3	0	2	0	4	7	1	1	1	3	0	1	3	3
DB00180	Flunisolide	4	1	0	1	0	1	1	1	10	5	2	0	100	1	7	1	1	0	3	25	1	0	3	1	0	1	1	0
DB00181	Baclofen	3	1	1	3	1	0	1	0	2	4	3	0	68	2	3	0	1	1	4	10	2	0	1	4	0	1	3	3
DB00182	Amphetamine	3	2	2	3	0	2	3	0	2	3	11	0	149	2	9	1	3	0	13	34	0	0	0	8	0	0	8	3
DB00183	Pentagastrin	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	1	0	0	0	1
DB00184	Nicotine	4	1	1	2	0	3	5	1	2	9	6	1	12	2	28	1	2	0	65	101	2	1	1	7	0	1	8	3
DB00185	Cevimeline	4	1	0	0	0	0	1	0	4	1	9	0	29	0	10	0	4	0	5	20	0	0	0	1	0	0	5	2
DB00186	Lorazepam	3	1	0	1	0	0	0	1	2	3	3	0	144	0	4	1	1	0	2	6	0	0	1	1	0	0	3	1
DB00187	Esmolol	1	1	0	1	0	1	3	0	2	1	2	0	41	0	3	0	1	0	3	7	0	0	1	2	0	0	3	1
DB00188	Bortezomib	3	2	1	1	1	0	1	0	0	4	6	1	0	1	8	0	1	1	10	17	0	0	2	1	0	3	3	1
DB00189	Ethchlorvynol	1	1	0	1	0	1	1	0	0	0	2	0	12	0	3	1	1	0	1	9	0	0	0	2	0	0	1	0
DB00190	Carbidopa	1	1	0	0	0	0	1	1	0	2	0	0	0	1	2	0	1	0	1	2	0	0	0	1	0	2	0	0
DB00191	Phentermine	1	1	0	1	0	1	2	0	1	1	1	0	84	1	1	1	1	0	1	4	0	1	1	2	0	0	1	1
DB00192	Indecainide	1	1	0	0	1	0	0	0	0	0	1	0	3	1	1	1	1	0	1	2	0	0	0	1	0	0	1	0
DB00193	Tramadol	6	1	0	0	0	1	5	0	4	4	76	0	104	0	75	1	1	0	58	93	2	0	2	4	0	0	5	1
DB00194	Vidarabine	10	3	3	2	1	1	3	1	16	10	24	0	112	2	35	0	2	2	23	74	10	1	4	13	1	2	29	4
DB00195	Betaxolol	3	1	0	1	0	1	3	0	2	2	7	0	105	1	66	0	1	1	66	103	1	0	1	2	0	1	3	3
DB00196	Fluconazole	2	1	1	0	1	0	1	1	1	3	4	0	100	1	3	1	1	1	8	13	1	1	1	1	0	0	1	1
DB00197	Troglitazone	1	2	1	1	1	0	1	0	4	2	0	1	0	0	7	1	0	0	3	10	0	0	1	1	0	1	7	0
DB00198	Oseltamivir	3	1	0	0	0	1	1	0	8	2	4	0	1	1	6	1	1	0	10	26	1	0	0	1	0	1	2	1
DB00199	Erythromycin	8	1	1	1	1	1	2	0	0	15	28	0	100	1	21	1	1	1	15	104	2	0	2	2	0	5	4	4
DB00200	Hydroxocobalamin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DB00201	Caffeine	1	1	1	1	0	1	1	0	1	3	10	1	100	1	9	1	1	0	50	60	1	1	1	6	0	0	4	1
DB00202	Succinylcholine	1	1	1	1	0	1	1	0	1	0	1	0	29	1	1	1	1	0	1	2	0	1	0	1	0	0	1	1
DB00203	Sildenafil	1	1	1	1	0	1	1	0	3	2	4	0	68	1	3	1	1	0	15	16	1	0	1	2	0	2	1	1
DB00204	Dofetilide	1	1	0	1	1	1	1	1	1	2	1	0	8	1	1	1	1	1	1	3	0	0	1	1	0	0	1	1
DB00205	Pyrimethamine	1	1	1	1	1	1	1	1	2	2	1	0	24	1	1	1	1	1	1	5	0	0	1	1	0	0	1	1
DB00206	Reserpine	7	1	0	1	0	1	1	0	5	6	6	0	81	1	9	1	1	1	5	34	3	1	4	3	0	2	7	1
DB00207	Azithromycin	3	1	1	1	1	1	1	1	0	11	33	0	100	1	35	0	2	1	12	78	1	0	1	3	0	4	2	1
DB00208	Ticlopidine	1	1	1	1	0	1	1	0	2	2	1	1	100	1	1	1	1	0	1	4	1	0	1	1	0	0	1	1
DB00209	Trospium	2	1	0	1	0	0	0	0	1	0	5	0	9	1	4	0	1	0	0	8	0	0	0	1	0	0	2	0
DB00210	Adapalene	1	1	0	1	0	0	1	0	1	2	1	0	30	0	1	0	1	1	2	4	0	0	0	1	0	0	1	1
DB00211	Midodrine	3	1	0	1	0	1	2	0	2	0	2	0	13	0	3	1	1	0	1	7	0	0	1	1	0	0	1	0
DB00212	Remikiren	2	1	1	0	0	1	0	0	0	0	9	0	1	1	8	0	1	0	2	11	0	0	0	0	0	0	2	1
DB00213	Pantoprazole	2	1	0	1	0	1	1	0	4	1	79	0	112	0	76	1	1	0	58	81	1	0	1	2	0	1	1	2
DB00214	Torasemide	1	1	0	1	1	0	1	1	2	2	1	0	29	1	1	0	1	1	1	4	0	0	1	1	0	0	1	1
DB00215	Citalopram	4	2	0	3	0	1	6	1	2	4	2	0	100	1	3	2	2	0	21	29	4	1	2	2	0	0	3	3
DB00216	Eletriptan	2	1	0	2	1	0	2	0	2	2	3	0	23	1	4	1	1	0	14	23	0	0	0	1	0	1	1	0
DB00217	Bethanidine	1	1	0	1	0	0	1	0	0	0	1	0	20	1	1	1	1	0	1	1	0	0	0	1	0	0	1	0
DB00218	Moxifloxacin	2	1	1	0	0	1	2	0	5	2	4	0	6	1	6	0	1	0	12	26	0	0	1	2	0	1	1	1
DB00219	Oxyphenonium	1	1	0	1	0	0	0	0	2	1	2	0	10	0	2	1	1	0	0	4	1	0	1	2	0	0	3	0
DB00220	Nelfinavir	3	2	1	0	0	1	2	0	0	1	8	0	95	1	8	1	1	0	5	24	0	0	2	1	0	0	3	4
DB00221	Isoetarine	2	1	0	1	0	1	0	0	4	0	4	0	61	0	4	0	1	0	1	11	0	0	1	1	0	0	3	1
DB00222	Glimepiride	2	1	0	1	1	1	1	1	1	2	2	0	23	2	5	0	1	1	11	11	0	0	1	1	0	1	2	0
DB00223	Diflorasone	4	1	0	0	1	1	2	0	16	4	3	0	95	2	15	0	1	0	4	32	2	0	3	4	0	3	3	0
DB00224	Indinavir	2	1	1	0	0	1	1	0	0	2	11	0	100	2	9	1	1	0	6	30	0	0	1	1	0	1	4	1
DB00225	Gadodiamide	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	1	2	0	0	0	1	0	1	0	0
DB00226	Guanadrel	2	1	0	1	0	1	2	0	4	0	2	0	8	0	2	0	1	0	1	4	0	0	0	1	0	0	1	0
DB00227	Lovastatin	9	1	1	1	1	1	1	1	23	12	144	0	108	2	161	1	1	1	11	198	2	0	3	2	0	1	3	5
DB00228	Enflurane	1	1	0	1	0	1	1	0	2	1	3	0	55	0	3	1	1	0	3	5	0	0	0	1	0	0	3	0
DB00229	Cefotiam	2	1	0	0	0	0	1	0	1	1	3	0	63	1	6	1	1	0	2	7	0	0	2	1	0	0	2	0
DB00230	Pregabalin	3	1	0	1	1	0	1	0	2	5	3	0	41	1	3	1	1	0	9	16	2	0	0	1	0	2	3	1
DB00231	Temazepam	1	1	0	1	0	1	0	0	2	2	3	0	90	0	3	0	1	0	1	7	0	0	0	1	0	0	3	1
DB00232	Methyclothiazide	1	1	0	1	0	1	0	0	2	1	2	0	95	0	2	0	1	1	1	3	1	0	0	1	0	0	1	0
DB00233	Aminosalicylic Acid	1	1	1	0	0	1	1	0	1	2	1	0	100	1	1	0	1	0	2	4	1	1	1	1	0	1	2	1
DB00234	Reboxetine	3	1	0	1	0	0	0	0	4	0	8	0	15	1	9	1	1	0	8	16	0	0	2	3	0	0	4	3
DB00235	Milrinone	1	1	1	1	1	1	1	1	1	1	1	0	39	1	1	0	1	1	2	1	1	0	1	1	0	0	1	1
DB00236	Pipobroman	1	1	0	1	0	1	0	0	1	0	1	0	16	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0
DB00237	Butabarbital	1	1	0	1	0	1	1	0	2	1	2	0	20	0	3	0	1	0	1	5	0	0	0	2	0	0	1	0
DB00238	Nevirapine	1	1	1	0	1	1	1	1	1	3	8	0	100	1	7	1	1	1	2	11	1	0	1	1	0	0	1	1
DB00239	Oxiconazole	1	1	0	0	0	1	2	0	3	1	1	0	0	1	3	1	1	0	1	4	0	0	1	1	0	1	1	0
DB00240	Alclometasone	1	1	0	0	0	0	1	0	0	0	1	0	43	1	5	1	1	0	1	5	0	0	0	1	0	0	1	0
DB00241	Butalbital	1	1	0	1	0	0	1	0	1	3	1	0	19	1	1	1	1	0	1	3	1	0	1	1	0	0	1	0
DB00242	Cladribine	2	1	1	1	1	0	1	1	7	3	6	0	61	1	10	0	1	1	5	13	0	0	2	3	0	1	4	2
DB00243	Ranolazine	2	1	0	1	1	0	0	0	4	2	90	0	10	0	140	1	1	1	113	150	1	0	1	2	0	0	3	0
DB00244	Mesalazine	1	1	0	2	1	0	2	1	1	2	1	1	100	1	1	0	1	1	1	6	1	1	1	2	0	0	2	1
DB00245	Benzatropine	4	1	0	1	0	1	1	0	2	2	5	0	85	1	5	0	1	0	1	7	1	0	2	1	0	1	3	2
DB00246	Ziprasidone	1	1	0	1	0	1	1	0	2	1	2	0	54	1	2	1	1	0	14	16	0	0	1	1	0	0	1	1
DB00247	Methysergide	4	1	0	1	0	1	1	0	2	0	2	0	8	1	3	1	1	0	1	8	0	0	2	2	0	0	3	2
DB00248	Cabergoline	2	1	0	1	1	1	1	0	2	2	5	0	15	1	7	1	1	0	4	13	0	0	2	1	0	0	1	2
DB00249	Idoxuridine	4	1	1	0	1	0	1	0	7	7	8	0	116	1	13	0	1	1	10	20	1	2	2	4	0	1	4	3
DB00250	Dapsone	1	1	0	0	1	1	1	1	1	3	1	0	100	1	1	1	1	0	4	5	1	0	1	1	0	0	4	1
DB00251	Terconazole	3	1	0	0	1	1	3	0	1	1	3	0	96	0	3	0	1	0	4	9	0	0	2	1	0	0	2	2
DB00252	Phenytoin	2	1	0	1	0	1	1	0	3	3	1	1	100	1	7	1	1	1	3	11	1	1	1	2	0	2	5	2
DB00253	Medrysone	3	1	0	1	0	1	0	1	12	2	3	0	85	1	4	0	1	0	1	18	0	0	3	1	0	0	1	0
DB00254	Doxycycline	4	1	1	0	0	1	1	0	45	6	0	1	0	4	14	0	1	0	7	0	3	0	0	1	0	1	7	0
DB00255	Diethylstilbestrol	3	1	1	1	1	1	1	0	2	3	1	1	100	1	2	1	1	1	2	9	2	1	1	3	0	1	5	1
DB00256	Lymecycline	1	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0
DB00257	Clotrimazole	1	1	1	1	0	1	1	1	2	2	1	1	100	1	1	1	1	1	1	3	1	0	1	2	0	0	1	1
DB00258	Calcium Acetate	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	2	2	0	0	0	2	0	0	1	0
DB00259	Sulfanilamide	1	1	1	0	0	1	1	0	1	3	3	0	100	1	3	1	1	1	1	6	1	1	1	2	0	0	1	1
DB00260	Cycloserine	3	1	1	0	1	2	5	2	4	5	4	0	110	2	3	1	1	1	4	11	4	0	2	3	0	2	3	2
DB00261	Anagrelide	1	1	0	1	0	0	1	0	1	3	2	0	13	1	1	1	1	0	2	2	0	0	1	0	0	1	1	1
DB00262	Carmustine	1	1	0	1	0	1	1	0	1	1	1	0	100	1	1	0	1	0	1	5	1	0	0	2	0	0	1	1
DB00263	Sulfisoxazole	1	1	0	0	0	1	1	1	0	2	1	0	84	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1
DB00264	Metoprolol	3	1	0	1	0	1	1	0	2	5	134	1	152	0	136	1	1	0	50	158	2	0	1	4	0	1	3	3
DB00265	Crotamiton	3	1	0	0	0	0	1	1	1	1	1	0	99	2	1	0	1	0	1	3	1	1	1	1	0	0	3	0
DB00266	Dicoumarol	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	1	3	1	0	1	1	0	1	1	1
DB00267	Cefmenoxime	3	1	0	0	0	0	2	0	6	0	3	0	51	1	10	1	1	0	2	21	1	0	0	1	0	1	1	0
DB00268	Ropinirole	1	1	0	1	0	1	1	0	1	1	1	0	29	1	1	1	1	0	48	51	0	0	1	1	0	0	1	1
DB00269	Chlorotrianisene	1	1	0	1	0	0	1	0	1	1	1	0	24	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0
DB00270	Isradipine	3	1	0	3	1	0	0	0	2	2	1	0	0	0	3	0	1	1	2	6	0	0	1	3	0	1	5	1
DB00271	Diatrizoate	1	1	0	0	0	0	2	0	0	2	1	0	0	3	1	0	1	0	1	5	1	0	0	1	0	0	2	1
DB00272	Betazole	1	1	0	1	0	0	1	0	1	2	2	0	9	1	1	1	1	0	1	2	0	0	1	1	0	1	1	0
DB00273	Topiramate	2	1	1	1	1	1	1	1	10	7	8	1	58	1	8	0	1	1	9	24	1	0	1	1	0	2	1	1
DB00274	Cefmetazole	3	1	1	0	0	1	2	0	4	2	2	0	60	1	6	1	1	0	1	13	0	0	1	1	0	0	2	1
DB00275	Olmesartan	1	1	0	0	0	0	1	1	0	3	2	1	1	1	1	0	1	0	2	3	0	0	1	1	0	1	1	1
DB00276	Amsacrine	1	1	1	0	1	1	1	0	0	1	1	0	100	1	1	0	1	0	1	2	0	0	0	1	0	0	1	1
DB00277	Theophylline	1	1	1	1	0	1	1	1	1	4	8	1	100	1	9	1	1	0	38	47	1	1	1	1	0	1	3	2
DB00278	Argatroban	5	1	2	1	0	1	0	1	10	7	7	0	47	2	8	0	1	1	6	30	0	0	1	2	0	1	7	3
DB00279	Liothyronine	5	1	1	1	0	1	3	1	2	3	4	1	102	4	4	0	1	0	7	17	0	1	2	7	1	1	6	3
DB00280	Disopyramide	3	1	1	1	0	1	1	0	2	1	2	1	75	0	2	0	1	0	1	8	1	0	1	3	0	1	3	1
DB00281	Lidocaine	2	2	1	1	0	1	1	1	1	2	1	0	95	1	1	1	1	1	2	6	1	0	1	2	0	0	1	1
DB00282	Pamidronate	1	1	1	1	0	1	0	0	2	1	1	0	100	1	2	0	1	1	2	12	1	0	0	1	0	0	1	1
DB00283	Clemastine	3	1	0	1	0	1	1	0	4	0	81	0	100	1	85	0	1	0	73	113	0	0	1	1	0	1	2	2
DB00284	Acarbose	5	1	2	1	1	1	1	1	8	4	4	1	68	0	18	0	1	1	3	39	2	0	2	1	0	2	3	2
DB00285	Venlafaxine	4	1	0	1	0	1	1	0	2	4	141	0	100	0	206	1	2	0	5	236	1	0	1	1	0	1	3	3
DB00286	Conjugated Estrogens	1	1	0	0	0	0	1	1	0	3	0	0	0	1	4	0	0	0	1	9	0	0	0	1	0	0	1	0
DB00287	Travoprost	3	1	0	1	1	0	1	0	26	3	5	0	3	3	14	0	1	0	6	43	0	0	0	1	0	1	2	1
DB00288	Amcinonide	2	1	0	1	0	0	1	1	6	4	1	0	57	1	5	1	1	0	1	14	0	0	3	1	0	0	1	0
DB00289	Atomoxetine	3	1	0	1	0	0	1	0	2	1	70	0	25	1	72	1	1	0	12	98	0	0	1	1	0	1	3	2
DB00290	Bleomycin	4	1	0	0	0	1	1	0	0	1	0	1	0	1	3	0	1	0	5	26	0	0	0	3	0	0	2	0
DB00291	Chlorambucil	1	1	1	1	1	1	1	1	1	1	1	0	100	1	1	1	1	0	1	2	1	0	1	1	0	0	1	1
DB00292	Etomidate	3	1	0	1	1	1	1	2	2	3	3	0	73	1	4	1	1	1	3	5	3	0	2	2	0	1	3	2
DB00293	Raltitrexed	3	1	1	1	1	1	0	1	2	2	3	0	10	1	3	1	1	1	4	6	1	0	1	1	0	3	2	2
DB00294	Etonogestrel	3	1	0	1	1	0	1	0	12	2	3	0	76	1	4	0	1	0	4	17	0	0	0	2	0	0	1	1
DB00295	Morphine	4	1	1	1	0	1	2	0	4	3	24	1	102	1	23	1	2	0	14	53	0	1	0	5	0	0	7	2
DB00296	Ropivacaine	1	1	0	1	0	1	2	0	2	1	3	0	68	2	3	0	1	0	4	8	0	0	1	2	0	1	4	0
DB00297	Bupivacaine	3	2	0	2	0	2	8	0	2	2	3	0	151	1	3	1	2	0	4	8	1	0	1	5	0	0	3	4
DB00298	Dapiprazole	1	1	0	1	0	0	1	0	1	0	1	0	15	1	1	1	1	0	1	2	0	0	0	1	0	0	1	0
DB00299	Penciclovir	1	1	1	0	1	1	1	1	1	3	1	0	100	1	1	1	1	1	2	3	0	0	1	1	0	1	1	1
DB00300	Tenofovir	3	1	1	0	1	0	1	0	2	3	3	0	5	1	3	0	1	1	7	13	1	0	1	4	0	2	3	0
DB00301	Flucloxacillin	5	1	0	0	0	1	2	0	5	0	1	1	50	1	2	0	1	0	2	18	0	1	2	1	0	0	1	1
DB00302	Tranexamic Acid	2	1	1	1	0	1	1	0	1	3	4	0	147	2	5	1	1	1	3	5	1	0	1	3	0	1	3	1
DB00303	Ertapenem	2	1	0	0	0	0	2	0	6	1	4	0	0	1	9	0	1	0	5	23	0	0	0	1	0	1	1	0
DB00304	Desogestrel	1	1	0	1	1	1	1	0	12	4	3	0	100	1	3	0	1	0	5	11	0	0	0	1	0	0	1	1
DB00305	Mitomycin	4	1	0	1	0	1	1	0	0	5	0	1	0	1	12	0	1	0	4	18	0	0	3	3	0	0	5	1
DB00306	Talbutal	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	4	0	0	0	1	0	0	1	0
DB00307	Bexarotene	1	1	1	1	1	0	1	0	1	2	1	1	9	1	1	1	1	1	3	7	0	0	0	1	0	0	1	1
DB00308	Ibutilide	3	1	0	1	0	1	0	0	0	1	2	0	14	0	2	1	1	0	5	7	0	0	0	3	0	0	3	1
