drugbank_id	name	type	groups	atc_codes	categories	inchikey	inchi	description
DB00011	Interferon alfa-n1	biotech	approved	L03AB06	Antiviral Agents|Immunologic Factors|Immunosuppressive Agents			Purified, natural (n is for natural) glycosylated human interferon alpha proteins 166 residues
DB00012	Darbepoetin alfa	biotech	approved|investigational	B03XA02	Hematinics|Anti-anemic Agents			Human erythropoietin with 2 aa substitutions to enhance glycosylation (5 N-linked chains), 165 residues (MW=37 kD). Produced in Chinese hamster ovary (CHO) cells by recombinant DNA technology.
DB00013	Urokinase	biotech	approved|investigational|withdrawn	B01AD04	Thrombolytic Agents			Low molecular weight form of human urokinase, that consists of an A chain of 2,000 daltons linked by a sulfhydryl bond to a B chain of 30,400 daltons. Recombinant urokinase plasminogen activator
DB00014	Goserelin	small molecule	approved	L02AE03		InChIKey=BLCLNMBMMGCOAS-URPVMXJPSA-N	InChI=1S/C59H84N18O14/c1-31(2)22-40(49(82)68-39(12-8-20-64-57(60)61)56(89)77-21-9-13-46(77)55(88)75-76-58(62)90)69-54(87)45(29-91-59(3,4)5)74-50(83)41(23-32-14-16-35(79)17-15-32)70-53(86)44(28-78)73-51(84)42(24-33-26-65-37-11-7-6-10-36(33)37)71-52(85)43(25-34-27-63-30-66-34)72-48(81)38-18-19-47(80)67-38/h6-7,10-11,14-17,26-27,30-31,38-46,65,78-79H,8-9,12-13,18-25,28-29H2,1-5H3,(H,63,66)(H,67,80)(H,68,82)(H,69,87)(H,70,86)(H,71,85)(H,72,81)(H,73,84)(H,74,83)(H,75,88)(H4,60,61,64)(H3,62,76,90)/t38-,39-,40-,41-,42-,43-,44-,45+,46-/m0/s1	Goserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.
DB00015	Reteplase	biotech	approved	B01AD07	Fibrinolytic Agents|Thrombolytic Agents			"Human tissue plasminogen activator, purified, glycosylated, 355 residues purified from CHO cells. Retavase is considered a ""third-generation"" thrombolytic agent, genetically engineered to retain and delete certain portions of human tPA. Retavase is a deletion mutein of human tPA formed by deleting various amino acids present in endogenous human tPA. Retavase contains 355 of the 527 amino acids of native human tPA (amino acids 1-3 and 176-527), and retains the activity-related kringle-2 and serine protease domains of human tPA. Three domains are deleted from retavase - kringle-1, finger, and epidermal growth factor (EGF)."
DB00016	Epoetin alfa	biotech	approved	B03XA01	Hematinics|Anti-anemic Agents			Human erythropoietin (recombinant), produced by CHO cells.
DB00017	Salmon Calcitonin	biotech	approved|investigational	H05BA01	Bone Density Conservation Agents|Antihypercalcemic Agents|Anti-Osteporotic Agents			Synthetic peptide, 32 residues long formulated as a nasal spray.
DB00018	Interferon alfa-n3	biotech	approved|investigational		Immunosuppressive Agents			Purified, natural (n is for natural) human interferon alpha proteins (consists of 3 forms or polymorphisms including 2a, 2b and 2c). 166 residues, some are glycosylated (MW range from 16 kD to 27 kD).
DB00019	Pegfilgrastim	biotech	approved	L03AA10	Immunosuppressive Agents|Antineutropenic Agents			PEGylated (at N terminus) form of human G-CSF (Granulocyte colony stimulating factor), 175 residues, produced from E. coli via bacterial fermentation.
DB00020	Sargramostim	biotech	approved|investigational	L03AA09	Immunosuppressive Agents			Sargramostim is a human recombinant granulocyte macrophage colony-stimulating factor (GM-CSF) expressed in yeast. It is a glycoprotein that is 127 residues. Substitution of Leu23 leads to a difference from native protein.
DB00021	Secretin	biotech	approved|investigational	V04CK01	Diagnostic Agents			This drug is the synthetic form of natural secretin.  It is prepared using solid phase peptide synthesis.  Secretin is a peptide hormone produced in the S cells of the duodenum. Its main effect is to regulate the pH of the small  intestine’s contents through the control of gastric acid secretion and buffering with bicarbonate. It was the first hormone to be discovered.
DB00022	Peginterferon alfa-2b	biotech	approved	L03AB10	Immunosuppressive Agents			Peginterferon alfa-2b is a covalent conjugate of recombinant alfa-2b interferon with monomethoxy polyethylene glycol (PEG). The average molecular weight of the PEG portion of the molecule is 12,000 daltons. The average molecular weight of the PEG-Intron molecule is approximately 31,000 daltons. The specific activity of peginterferon alfa-2b is approximately 0.7 x 108 IU/mg protein. Interferon alfa-2b is a water-soluble protein with a molecular weight of 19,271 daltons produced by recombinant DNA techniques. It is obtained from the bacterial fermentation of a strain of <i>Escherichia coli</i> bearing a genetically engineered plasmid containing an interferon gene from human leukocytes. The PEG strand protects the molecule in vivo from proteolytic breakdown, substantially increases its in vivo half-life, and reduces immunogenicity by wrapping around and physically hindering access to the protein portion of the molecule.
DB00023	Asparaginase	biotech	approved	L01XX02	Antineoplastic Agents			L-asparagine amidohydrolase from E. coli
DB00024	Thyrotropin Alfa	biotech	approved	V04CJ01	Diagnostic Agents			Thyrotropin alfa is a recombinant form of thyroid stimulating hormone used in performing certain tests in patients who have or have had thyroid cancer. It is also used along with a radioactive agent to destroy remaining thyroid tissue in certain patients who have had their thyroid gland removed because of thyroid cancer. It is a heterodimeric glycoprotein comprised of two non-covalently linked subunits, an alpha subunit of 92 amino acid residues containing two N-linked glycosylation sites and a beta subunit of 112 residues containing one N-linked glycosylation site. The alpha subunit is nearly identical to that of human chorionic gonadotropin (hCG), luteinizing hormone (LH), and follicle-stimulating hormone (FSH). The alpha subunit is thought to be the effector region responsible for stimulation of adenylate cyclase (involved the generation of cAMP). The beta subunit (TSHB) is unique to TSH, and therefore determines its receptor specificity. The amino acid sequence of thyrotropin alfa is identical to that of human pituitary thyroid stimulating hormone.
DB00025	Antihemophilic Factor	biotech	approved|investigational	B02BD02	Coagulants|Thrombotic Agents			Human recombinant antihemophilic factor (AHF) or Factor VIII, 2332 residues, glycosylated, produced by CHO cells
DB00026	Anakinra	biotech	approved	L04AC03	Antirheumatic Agents|Immunosuppressive Agents			Anakinra is a recombinant, nonglycosylated human interleukin-1 receptor antagonist (IL-1Ra). The difference  between anakinra and the native human IL-1Ra is that anakinra has an extra methionine residue at the amino terminus. It is manufactured by using the E. coli expression system. Anakinra is composed of 153 amino acid residues. FDA approved on November 14, 2001. 
DB00027	Gramicidin D	biotech	approved	R02AB30	Anti-Bacterial Agents|Anti-Infective Agents|Antibiotics|Antibiotics, Topical			Gramcidin D is a heterogeneous mixture of three antibiotic compounds, gramicidins A, B and C, making up 80%, 6%, and 14% respectively all of which are obtained from the soil bacterial species Bacillus brevis and called collectively gramicidin D.  Gramcidins are 15 residue peptides with alternating D and L amino acids.  The peptides assemble inside of the hydrophobic interior of the cellular lipid bilayer to form a β-helix. The helix itself is not long enough to span the membrane but it dimerizes to form the elongated channel needed to span the whole membrane. Gramicidin D is used primarily as a topical antibiotic and is one of the three constituents of consumer antibiotic polysporin ophthalmic solution.
DB00028	Intravenous Immunoglobulin	biotech	approved|investigational	J06BA02|J06BA01	Immunologic Factors|Immunosuppressive Agents|Anti-Infective Agents			Intravenous immunoglobulin (IVIg) is a mixture of IgG1 and other antibodies derived from healthy human plasma via Cohn fractionation. The purification process includes cold alcohol fractionation, polyethylene glycol precipitation, and ion exchange chromatography. IVIg contains the same distribution of IgG antibody subclasses as is found in the general human population. IgG subclasses are fully represented in the following proportions: 70.3% IgG1, 24.7% IgG2, 3.1% IgG3, and 1.9% IgG4. IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders.
DB00029	Anistreplase	biotech	approved	B01AD03	Fibrinolytic Agents|Thrombolytic Agents			Human tissue plasminogen activator, purified, glycosylated, 527 residues purified from CHO cells. Eminase is a lyophilized (freeze-dried) formulation of anistreplase, the p-anisoyl derivative of the primary Lys-plasminogen-streptokinase activator complex (a complex of Lys-plasminogen and streptokinase). A p-anisoyl group is chemically conjugated to a complex of bacterial-derived streptokinase and human Plasma-derived Lys-plasminogen proteins.
DB00030	Insulin Regular	biotech	approved|experimental|investigational	A10AB01|A10AE05|A10AB04|A10AE04|A10AD05|A10AC03|A10AC01|A10AB05|A10AB03	Antidiabetic Agents			Insulin regular is a 51 residue peptide hormone, composed of two amino acid chains covalently linked by disulfide bonds. The structure is identical to native human insulin. Recombinant insulin is synthesized by recombinant DNA techncology. Inserting the human insulin gene into the Escherichia coli bacteria or Saccharomyces cerevisiae produces insulin for human use. 
DB00031	Tenecteplase	biotech	approved	B01AD11	Fibrinolytic Agents|Thrombolytic Agents			Tissue plasminogen activator (tPA). Tenecteplase is a 527 amino acid glycoprotein developed by introducing the following modifications to the complementary DNA (cDNA) for natural human tPA: a substitution of threonine 103 with asparagine, and a substitution of asparagine 117 with glutamine, both within the kringle 1 domain, and a tetra-alanine substitution at amino acids 296-299 in the protease domain.
DB00032	Menotropins	biotech	approved	G03GA02	Fertility Agents, Female|Fertility Agents			Menotropins contains follicle stimulating hormone (FSH) and luteinizing hormone (LH) purified from the urine of postmenopausal women.  It is used as a fertility medication that is injected either subcutaneously or intramuscularly. It is composed of LH with 2 subunits, alpha = 92 residues, beta = 121 residues and FSH with 2 subunits, alpha = 92 residues, beta=111 residues.
DB00033	Interferon gamma-1b	biotech	approved|investigational		Immunosuppressive Agents			"Human Interferon gamma-1b (140 residues), produced from E. coli. Production of Actimmune is achieved by fermentation of a genetically engineered Escherichia coli bacterium containing the DNA which encodes for the human protein. Purification of the product is achieved by conventional column chromatography. 
The sequence displayed is a cDNA sequence which codes for human interferon gamma, as described by Gray et. al. and not specifically interferon gamma 1b."
DB00034	Interferon Alfa-2a, Recombinant	biotech	approved	L03AB04				"Interferon a (human leukocyte protein moiety reduced). A type I interferon consisting of 165 amino acid residues with lysine in position 23. This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent. An oral form is being developed by Amarillo Biosciences.

"
DB00035	Desmopressin	small molecule	approved	H01BA02	Antidiuretic Agents|Hemostatics|Renal Agents	InChIKey=NFLWUMRGJYTJIN-NXBWRCJVSA-N	InChI=1S/C46H64N14O12S2/c47-35(62)15-14-29-40(67)58-32(22-36(48)63)43(70)59-33(45(72)60-18-5-9-34(60)44(71)56-28(8-4-17-52-46(50)51)39(66)53-23-37(49)64)24-74-73-19-16-38(65)54-30(21-26-10-12-27(61)13-11-26)41(68)57-31(42(69)55-29)20-25-6-2-1-3-7-25/h1-3,6-7,10-13,28-34,61H,4-5,8-9,14-24H2,(H2,47,62)(H2,48,63)(H2,49,64)(H,53,66)(H,54,65)(H,55,69)(H,56,71)(H,57,68)(H,58,67)(H,59,70)(H4,50,51,52)/t28-,29-,30-,31-,32-,33-,34-/m0/s1	Desmopressin is a chemical that is similar to Antidiuretic Hormone (ADH) which is found naturally in the body. It increases urine concentration and decreases urine production. Desmopressin is used to prevent and control excessive thirst, urination, and dehydration caused by injury, surgery, and certain medical conditions, allowing you to sleep through the night without awakening to urinate. It is also used to treat specific types of diabetes insipidus and conditions after head injury or pituitary surgery.
DB00036	Coagulation factor VIIa	biotech	approved		Coagulants|Thrombotic Agents			Recombinant human coagulation Factor VIIa (rFVIIa), intended for promoting hemostasis by activating the extrinsic pathway of the coagulation cascade.1 NovoSeven is a vitamin K-dependent glycoprotein consisting of 406 amino acid residues. Cloned and expressed in hamster kidney cells, the protein is catalytically active in a two-chain form.
DB00038	Oprelvekin	biotech	approved|investigational	L03AC02	Antineoplastic Agents|Coagulants|Thrombotic Agents			"Oprelvekin, the active ingredient in Neumega® is recombinant Interleukin eleven, which is produced in Escherichia coli (E. coli) by recombinant DNA technology. The protein has a molecular mass of approximately 19,000 daltons, and is non-glycosylated. The polypeptide is 177 amino acids in length (the natural IL-11 has 178). This alteration has not resulted in measurable differences in bioactivity either in vitro or in vivo.

The primary hematopoietic activity of Neumega® is stimulation of megakaryocytopoiesis and thrombopoiesis. In mice and nonhuman primate studies Neumega® has shown potent thrombopoietic activity in compromised hematopoiesis, including moderately to severely myelosuppressed animals. In these studies, Neumega® improved platelet nadirs and accelerated platelet recoveries compared to controls.

In animal studies Oprelvekin also has non-hematopoetic activities. This includes the regulation of intestinal epithelium growth (enhanced healing of gastrointestinal lesions), the inhibition of adipogenesis, the induction of acute phase protein synthesis (e.g., fibrinogen), and inhibition of macrophageal released pro-inflammatory cytokines."
DB00039	Palifermin	biotech	approved	V03AF08	Anti-Mucositis Agents			Palifermin is a recombinant human keratinocyte growth factor (KGF). It is 140 residues long, and is produced using E. coli.
DB00040	Glucagon recombinant	biotech	approved	H04AA01	Hypoglycemic Agents			29 residue peptide hormone. Glucagon is synthesized in a special non- pathogenic laboratory strain of Escherichia coli bacteria that has been genetically altered by the addition of the gene for glucagons
DB00041	Aldesleukin	biotech	approved	L03AC01	Antineoplastic Agents|Anti-HIV Agents			Aldesleukin, a lymphokine, is produced by recombinant DNA technology using a genetically engineered E. coli strain containing an analog of the human interleukin-2 gene. Genetic engineering techniques were used to modify the human IL-2 gene, and the resulting expression clone encodes a modified human interleukin-2. This recombinant form differs from native interleukin-2 in the following ways: a) Aldesleukin is not glycosylated because it is derived from E. coli; b) the molecule has no N-terminal alanine; the codon for this amino acid was deleted during the genetic engineering procedure; c) the molecule has serine substituted for cysteine at amino acid position 125.
DB00042	Botulinum Toxin Type B	biotech	approved		Antidystonic Agents			Neurotoxin produced by fermentation of clostridium botulinum type B. The protein exists in noncovalent association with hemagglutinin and nonhemagglutinin proteins as a neurotoxin complex. The neurotoxin complex is recovered from the fermentation process and purified through a series of precipitation and chromatography steps.
DB00043	Omalizumab	biotech	approved|investigational	R03DX05	Anti-Allergic Agents|Anti-Asthmatic Agents|Immunosuppressive Agents			A recombinant DNA-derived humanized IgG1k monoclonal antibody that selectively binds to human immunoglobulin E (IgE). Xolair is produced by a Chinese hamster ovary cell suspension culture in a nutrient medium containing the antibiotic gentamicin.
DB00044	Lutropin alfa	biotech	approved	G03GA07	Fertility Agents			"Lutropin alfa is a recombinant human luteinizing hormone produced in yeast with 2 subunits, alpha = 92 residues, beta = 121 residues. It is a heterodimeric glycoprotein. Each monomeric unit is a glycoprotein molecule. In females, an acute rise of LH (""LH surge"") triggers ovulation and the development of the corpus luteum. In males, it stimulates Leydig cell production of testosterone. Lutropin alfa was the first and only recombinant human form of luteinizing hormone (LH) developed for use in the stimulation of follicular development."
DB00045	OspA lipoprotein	biotech	approved|withdrawn		Vaccines			Vaccine against Lyme disease that contains lipoprotein OspA, an outer surface protein of Borrelia burgdorferi sensu stricto ZS7, as expressed by Escherichia coli. Lipoprotein OspA is a single polypeptide chain of 257 amino acids with lipids covalently bonded to the N terminus. It is conjugated with alum (aluminum hydroxide) as an adjuvant.
DB00046	Insulin Lispro	biotech	approved	A10AC04|A10AD04	Hypoglycemic Agents|Antidiabetic Agents			Insulin lispro is a recombinant human insulin analogue produced in a specialized laboratory strain of Escherischia coli. Plasmid DNA transfected into the bacteria encodes for an analogue of human insulin that has a lysine at residuce B28 and proline at B29; these residues are reversed in endogenous human insulin. Reversal of these amino acid residues produces a rapid-acting insulin analogue. FDA approved on 1996. 
DB00047	Insulin Glargine	biotech	approved		Hypoglycemic Agents|Antidiabetic Agents			Insulin glargine is produced by recombinant DNA technology using a non-pathogenic laboratory strain of Escherichia coli (K12) as the production organism. It is an analogue of human insulin made by replacing the asparagine residue at position A21 of the A-chain with glycine and adding two arginines to the C-terminus (positions B31 and 32) of the B-chain. The resulting protein is soluble at pH 4 and forms microprecipitates at physiological pH 7.4. Small amounts of insulin glargine are slowly released from microprecipitates giving the drug a long duration of action (up to 24 hours) and no pronounced peak concentration. 
DB00048	Collagenase	biotech	approved|investigational	D03BA02				The enzyme collagenase is derived from fermentation of Clostridium histolyticum
DB00049	Rasburicase	biotech	approved|investigational	V03AF07	Gout Suppressants|Antihyperuricemic Agents			Rasburicase is a recombinant urate-oxidase enzyme produced by a genetically modified <i>Saccharomyces cerevisiae</i> strain. The cDNA coding for rasburicase was cloned from a strain of <i>Aspergillus flavus</i>.
DB00050	Cetrorelix	small molecule	approved|investigational	H01CC02	Hormone Antagonists|Fertility Agents	InChIKey=SBNPWPIBESPSIF-MHWMIDJBSA-N	InChI=1S/C70H92ClN17O14/c1-39(2)31-52(61(94)82-51(15-9-28-77-69(73)74)68(101)88-30-10-16-58(88)67(100)79-40(3)59(72)92)83-60(93)50(14-8-29-78-70(75)102)81-63(96)54(34-43-20-25-49(91)26-21-43)86-66(99)57(38-89)87-65(98)56(36-45-11-7-27-76-37-45)85-64(97)55(33-42-18-23-48(71)24-19-42)84-62(95)53(80-41(4)90)35-44-17-22-46-12-5-6-13-47(46)32-44/h5-7,11-13,17-27,32,37,39-40,50-58,89,91H,8-10,14-16,28-31,33-36,38H2,1-4H3,(H2,72,92)(H,79,100)(H,80,90)(H,81,96)(H,82,94)(H,83,93)(H,84,95)(H,85,97)(H,86,99)(H,87,98)(H4,73,74,77)(H3,75,78,102)/t40-,50-,51+,52+,53-,54+,55-,56-,57+,58+/m1/s1	Cetrorelix is a man-made hormone that blocks the effects of Gonadotropin Releasing Hormone (GnRH). GnRH controls another hormone that is called luteinizing hormone (LH), which is the hormone that starts ovulation during the menstrual cycle. When undergoing hormone treatment sometimes premature ovulation can occur, leading to eggs that are not ready for fertilization to be released. Cetrorelix does not allow the premature release of these eggs to occur.
DB00051	Adalimumab	biotech	approved	L04AB04	Antirheumatic Agents|Anti-Inflammatory Agents|Immunosuppressive Agents			Adalimumab is a human monoclonal antibody against TNF-alpha. It is produced by recombinant DNA technology using a mammalian cell expression system. It consists of 1330 amino acids and has a molecular weight of approximately 148 kilodaltons.
DB00052	Somatropin recombinant	biotech	approved|investigational	H01AC01	Hormone Replacement Agents			Recombinant human growth hormone (somatotropin) 191 residues, MW 22.1 kD, synthesized in E. coli
DB00053	Imiglucerase	biotech	approved	A16AB02	Enzyme Replacement Agents			Human Beta-glucocerebrosidase or Beta-D-glucosyl-N-acylsphingosine glucohydrolase E.C. 3.2.1.45. 497 residue protein with N-linked carbohydrates, MW=59.3 kD. Alglucerase is prepared by modification of the oligosaccharide chains of human Beta-glucocerebrosidase. The modification alters the sugar residues at the non-reducing ends of the oligosaccharide chains of the glycoprotein so that they are predominantly terminated with mannose residues
DB00054	Abciximab	biotech	approved	B01AC13	Anticoagulants|Platelet Aggregation Inhibitors			Abciximab is a Fab fragment of the chimeric human-murine monoclonal antibody 7E3. Abciximab binds to the glycoprotein (GP) IIb/IIIa receptor of human platelets and inhibits platelet aggregation by preventing the binding of fibrinogen, von Willebrand factor, and other adhesive molecules. It also binds to vitronectin (αvβ3) receptor found on platelets and vessel wall endothelial and smooth muscle cells.
DB00055	Drotrecogin alfa	biotech	approved|investigational|withdrawn	B01AD10	Antisepsis			Drotrecogin alfa is activated human protein C that is synthesized by recombinant DNA technology. It is a glycoprotein of approximately 55 kilodalton molecular weight, consisting of a heavy chain and a light chain linked by a disulfide bond. Drotrecogin alfa was withdrawn from the market after a major study indicated that it was not effective in improving outcomes in patients with sepsis. 
DB00056	Gemtuzumab ozogamicin	biotech	approved|investigational|withdrawn		Antineoplastic Agents|Immunotoxins			Recombinant humanized IgG4, kappa antibody conjugated with a cytotoxic antitumor antibiotic, calicheamicin, isolated from fermentation of a bacterium, Micromonospora echinospora ssp. calichensis. The antibody portion of Mylotarg binds specifically to the CD33 antigen, The anti-CD33 hP67.6 antibody is produced by mammalian cell suspension culture using a myeloma NS0 cell line. Gemtuzumab ozogamicin (trade name Mylotarg) was withdrawn in 2010 when a clinical trial showed the drug increased patient death and exhibited no advantages over traditional cancer therapies. 
DB00057	Satumomab Pendetide	biotech	approved|withdrawn	V09IB02	Diagnostic Agents			Tumor associated glycoprotein (TAG) 72 (B72.3) monoclonal antibody conjugated with Indium 111 for radioimaging colon tumors. Satumomab Pendetide (trade name: OncoScint®) is no longer commercially available. 
DB00058	Alpha-1-proteinase inhibitor	biotech	approved		Serine Proteinase Inhibitors|Trypsin Inhibitors|Enzyme Replacement Agents			Human alpha-1 proteinase inhibitor or alpha-1-antitrypsin, prepared from human plasma via Cohn alcohol fractionation followed by PEG and zinc chloride fractionation.
DB00059	Pegaspargase	biotech	approved|investigational	L01XX24	Antineoplastic Agents			Pegylated L-asparagine amidohydrolase from E. coli. Pegylation substantially (by a factor of 4) extends the protein half life.
DB00060	Interferon beta-1a	biotech	approved|investigational	L04AA23|L03AB07	Antineoplastic Agents|Antiviral Agents|Immunologic Factors|Immunosuppressive Agents			Human interferon beta (166 residues), glycosylated, MW=22.5kD. It is produced by mammalian cells (Chinese Hamster Ovary cells) into which the human interferon beta gene has been introduced. The amino acid sequence of Avonex is identical to that of natural human interferon beta.
DB00061	Pegademase bovine	biotech	approved		Enzyme Replacement Agents			Bovine adenosine deaminase derived from bovine intestine that has been extensively pegylated for extended serum half life.
DB00062	Human Serum Albumin	biotech	approved		Serum substitutes			Human serum albumin isolated from expired blood plasma
DB00063	Eptifibatide	biotech	approved|investigational	B01AC16	Platelet Aggregation Inhibitors			Synthetic cyclic hexapeptide that binds to platelet receptor glycoprotein and inhibits platelet aggregation.
DB00064	Serum albumin iodonated	biotech	approved		Diagnostic Agents			A diagnostic radiopharmaceutical containing iodinated I 131 albumin for intravenous imaging. Following intravenous injection, radioiodinated albumin human is uniformly distributed throughout the intravascular pool within 10 minutes; extravascular distribution takes place more slowly (2 days). Indicated for use in determinations of total blood and plasma volumes, cardiac output, cardiac and pulmonary blood volumes and circulation times
DB00065	Infliximab	biotech	approved	L04AB02	Antirheumatic Agents|Anti-Inflammatory Agents, Non-Steroidal|Dermatologic Agents|Gastrointestinal Agents|Immunosuppressive Agents			Tumor necrosis factor (TNF-alpha) binding antibody (chimeric IgG1). It is composed of human constant and murine variable regions. Infliximab is produced by a recombinant cell line cultured by continuous perfusion
DB00066	Follitropin beta	biotech	approved	G03GA06	Fertility Agents			Follitropin beta is a human follicle stimulating hormone (FSH) preparation of recombinant DNA origin, which consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Follitropin beta is produced in genetically engineered Chinese hamster cell lines (CHO). The nomenclature “beta” differentiates it from another recombinant human FSH product that was marketed earlier as follitropin alpha. Follitropin is important in the development of follicles produced by the ovaries. Given by subcutaneous injection, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).  Numerous physio-chemical tests and bioassays indicate that follitropin beta and follitropin alpha are indistinguishable. However, a more recent study showed there is may be a slight clinical difference, with the alpha form tending towards a higher pregnancy rate and the beta form tending towards a lower pregnancy rate, but with significantly higher estradiol (E2) levels.  Structural analysis shows that the amino acid sequence of follitropin beta is identical to that of natural human follicle stimulating hormone (FSH). Further, the ogliosaccharide side chains are very similar, but not completely identical to that of natural FSH. However, these small differences do not affect the bioactivity compared to natural FSH.
DB00067	Vasopressin	biotech	approved	H01BA01	Antidiuretic Agents			Antidiuretic hormone, also known as vasopressin, is a nine amino acid peptide secreted from the posterior pituitary. Antidiuretic hormone binds to receptors in the distal or collecting tubules of the kidney and promotes reabsorbtion of water back into the circulation
DB00068	Interferon beta-1b	biotech	approved	L03AB08	Adjuvants, Immunologic|Immunosuppressive Agents			Human interferon beta (165 residues), cysteine 17 is substituted with serine. Produced in E. coli, no carbohydrates, MW=18.5kD
